province,country,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,Combined_Key
Abruzzo,Italy,4137,474,2984,679.0,315.4210951676604,11.457577955039884,"Abruzzo, Italy"
Acre,Brazil,27061,648,24298,2115.0,3068.366716367985,2.3945900003695355,"Acre, Brazil"
Adygea Republic,Russia,3775,31,3253,491.0,832.6422219085263,0.8211920529801324,"Adygea Republic, Russia"
Aguascalientes,Mexico,6581,555,5783,243.0,458.7229504368706,8.433368788937852,"Aguascalientes, Mexico"
Aichi,Japan,5077,79,4554,444.0,67.22509708710224,1.5560370297419737,"Aichi, Japan"
Akita,Japan,52,0,51,1.0,5.3802936398721135,0.0,"Akita, Japan"
Alabama,US,144164,2437,0,141727.0,3239.9325535488906,2.0594842684712624,"Alabama, US"
Alagoas,Brazil,83950,2014,80658,1278.0,2515.463583907865,2.3990470518165576,"Alagoas, Brazil"
Alaska,US,6729,45,0,6684.0,681.8067525668181,0.7242884194065496,"Alaska, US"
Alberta,Canada,16381,255,14702,1424.0,371.18645066354026,1.5566815212746474,"Alberta, Canada"
Altai Krai,Russia,12914,164,11648,1102.0,549.5132080610022,1.2699396004336378,"Altai Krai, Russia"
Altai Republic,Russia,2798,12,2235,551.0,1283.1154299445573,0.4288777698355968,"Altai Republic, Russia"
Amapa,Brazil,46738,691,35026,11021.0,5526.343482738601,1.4784543626171425,"Amapa, Brazil"
Amazonas,Brazil,131573,3956,109874,17743.0,3174.566791415426,3.0066959026548,"Amazonas, Brazil"
Amazonas,Colombia,2732,115,2597,20.0,3567.091880034992,4.209370424597363,"Amazonas, Colombia"
Amazonas,Peru,12987,204,0,12783.0,3042.8772258669164,1.5708015708015708,"Amazonas, Peru"
Amur Oblast,Russia,3959,50,3514,395.0,495.8518281013597,1.262945188178833,"Amur Oblast, Russia"
Ancash,Peru,21235,1248,0,19987.0,1798.6616974419787,5.8770897103838005,"Ancash, Peru"
Andalusia,Spain,47612,1662,10671,35279.0,564.9663211866524,3.490716626060657,"Andalusia, Spain"
Andaman and Nicobar Islands,India,3631,52,3414,165.0,870.6682396723544,1.4321123657394657,"Andaman and Nicobar Islands, India"
Andhra Pradesh,India,609558,5244,519891,84423.0,1130.8341944263138,0.8602954927997007,"Andhra Pradesh, India"
Anguilla,United Kingdom,3,0,3,0.0,19.99733368884149,0.0,"Anguilla, United Kingdom"
Anhui,China,991,6,985,0.0,1.5670461733080334,0.6054490413723511,"Anhui, China"
Antioquia,Colombia,102501,2187,85968,14346.0,1599.8028437817914,2.133637720607604,"Antioquia, Colombia"
Antofagasta,Chile,19391,489,18423,479.0,3191.755523147676,2.521788458563251,"Antofagasta, Chile"
Aomori,Japan,35,1,32,2.0,2.808152628711676,2.8571428571428568,"Aomori, Japan"
Apurimac,Peru,4200,79,0,4121.0,975.156721615974,1.880952380952381,"Apurimac, Peru"
Aragon,Spain,32266,1302,3772,27192.0,2443.3092581626643,4.035207338994606,"Aragon, Spain"
Arauca,Colombia,1449,34,1122,293.0,552.6863838519456,2.3464458247066937,"Arauca, Colombia"
Araucania,Chile,6358,103,5770,485.0,664.2123473711482,1.620006291286568,"Araucania, Chile"
Arequipa,Peru,39046,1297,0,37749.0,2607.586483237612,3.321723095835681,"Arequipa, Peru"
Arica y Parinacota,Chile,7561,138,7030,393.0,3344.568890776226,1.825155402724508,"Arica y Parinacota, Chile"
Arizona,US,212942,5451,0,207491.0,2927.250678937342,6.041792466461883,"Arizona, US"
Arkansas,US,75160,1181,0,73979.0,2564.9724143124126,1.821153101596221,"Arkansas, US"
Arkhangelsk Oblast,Russia,12290,257,9799,2234.0,1064.0434690760744,2.09113100081367,"Arkhangelsk Oblast, Russia"
Aruba,Netherlands,3460,23,2128,1309.0,3240.732068261432,0.6647398843930635,"Aruba, Netherlands"
Arunachal Pradesh,India,7005,13,5106,1886.0,446.0482228751103,0.185581727337616,"Arunachal Pradesh, India"
Assam,India,152858,540,123687,28631.0,429.2915229485945,0.3532690470894556,"Assam, India"
Astrakhan Oblast,Russia,6550,94,6144,312.0,643.725786573944,1.4351145038167938,"Astrakhan Oblast, Russia"
Asturias,Spain,4340,341,1063,2936.0,424.57237051276405,7.857142857142858,"Asturias, Spain"
Atacama,Chile,6552,56,6083,413.0,2267.5674179079683,0.8547008547008547,"Atacama, Chile"
Atlantico,Colombia,66512,3016,61671,1825.0,2623.212544029482,4.5345200866009145,"Atlantico, Colombia"
Australian Capital Territory,Australia,113,3,110,0.0,26.395701938799345,2.6548672566371683,"Australian Capital Territory, Australia"
Ayacucho,Peru,10410,286,0,10124.0,1557.9167913798265,2.7473583093179634,"Ayacucho, Peru"
Aysen,Chile,223,1,155,67.0,216.1732488028073,0.4484304932735426,"Aysen, Chile"
Azad Jammu and Kashmir,Pakistan,2517,67,2257,193.0,62.21933936261885,2.6618990862137464,"Azad Jammu and Kashmir, Pakistan"
Baden-Wurttemberg,Germany,46779,1871,41228,3680.0,422.5923532636833,3.9996579661814073,"Baden-Wurttemberg, Germany"
Bahia,Brazil,294210,6221,280351,7638.0,1978.1398103309448,2.1144760545188808,"Bahia, Brazil"
Baja California,Mexico,18501,3367,14561,573.0,508.9868462898792,18.19901626939084,"Baja California, Mexico"
Baja California Sur,Mexico,9374,428,8112,834.0,1164.8945953066204,4.565820354171112,"Baja California Sur, Mexico"
Baleares,Spain,12059,270,1533,10256.0,1014.8793994378144,2.238991624512812,"Baleares, Spain"
Balochistan,Pakistan,14269,145,12969,1155.0,115.59080030407291,1.0161889410610414,"Balochistan, Pakistan"
Bashkortostan Republic,Russia,8384,33,8158,193.0,206.3351080023025,0.3936068702290077,"Bashkortostan Republic, Russia"
Basilicata,Italy,631,28,438,165.0,112.10423739804466,4.437400950871632,"Basilicata, Italy"
Bayern,Germany,64465,2648,56398,5419.0,492.9752649765945,4.107655316838596,"Bayern, Germany"
Beijing,China,935,9,926,0.0,4.340761374187558,0.962566844919786,"Beijing, China"
Belgorod Oblast,Russia,8208,57,7521,630.0,529.5907543571228,0.6944444444444444,"Belgorod Oblast, Russia"
Berlin,Germany,13064,227,11667,1170.0,358.42588919196686,1.7375995101041029,"Berlin, Germany"
Bermuda,United Kingdom,180,9,166,5.0,289.0498289788512,5.0,"Bermuda, United Kingdom"
Bihar,India,165218,859,151750,12609.0,132.3862964470027,0.519919137140021,"Bihar, India"
Biobio,Chile,21564,286,19404,1874.0,1385.144574946766,1.3262845483212762,"Biobio, Chile"
Blekinge,Sweden,624,17,0,607.0,390.96274576143753,2.7243589743589745,"Blekinge, Sweden"
Bolivar,Colombia,27972,754,25630,1588.0,1351.2325431981876,2.695552695552696,"Bolivar, Colombia"
"Bonaire, Sint Eustatius and Saba",Netherlands,36,1,17,18.0,137.294534914763,2.7777777777777777,"Bonaire, Sint Eustatius and Saba, Netherlands"
Boyaca,Colombia,5995,117,4266,1612.0,492.4526194043582,1.95162635529608,"Boyaca, Colombia"
Brandenburg,Germany,4117,173,3792,152.0,163.8987275455359,4.202088899684236,"Brandenburg, Germany"
Bremen,Germany,2192,59,2015,118.0,320.94362109911475,2.6916058394160585,"Bremen, Germany"
British Columbia,Canada,7842,223,5797,1822.0,153.43626202499468,2.8436623310380007,"British Columbia, Canada"
British Virgin Islands,United Kingdom,69,1,48,20.0,228.19724178986007,1.4492753623188406,"British Virgin Islands, United Kingdom"
Bryansk Oblast,Russia,8927,37,7288,1602.0,737.1703295342128,0.414472947238714,"Bryansk Oblast, Russia"
Buryatia Republic,Russia,6152,62,5223,867.0,624.878746910903,1.0078023407022108,"Buryatia Republic, Russia"
C. Valenciana,Spain,34370,1541,9970,22859.0,690.8585762041936,4.48356124527204,"C. Valenciana, Spain"
Cajamarca,Peru,18433,441,0,17992.0,1268.005778358671,2.392448326371181,"Cajamarca, Peru"
Calabria,Italy,1810,98,1267,445.0,92.95727919693128,5.414364640883979,"Calabria, Italy"
Caldas,Colombia,4653,106,3183,1364.0,466.1133678268579,2.278100150440576,"Caldas, Colombia"
California,US,783313,15018,0,768295.0,1544.8584199971447,1.4726158068176334,"California, US"
Callao,Peru,30730,1687,0,29043.0,2719.709708823789,5.489749430523918,"Callao, Peru"
Campania,Italy,10089,456,5060,4573.0,173.8975457504466,4.519774011299434,"Campania, Italy"
Campeche,Mexico,5851,800,4981,70.0,584.7392159037872,13.672876431379253,"Campeche, Mexico"
Canarias,Spain,11479,209,1537,9733.0,520.1411390905165,1.820716090251764,"Canarias, Spain"
Cantabria,Spain,6058,231,2287,3540.0,1041.5359302387556,3.8131396500495214,"Cantabria, Spain"
Capital District,Colombia,250490,6408,205741,38341.0,3379.261648395441,2.5581859555271667,"Capital District, Colombia"
Caqueta,Colombia,7759,274,6504,981.0,1932.556060066403,3.5313829101688365,"Caqueta, Colombia"
